,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
36,2022-2023,2,Wolfsburg,Koen Casteels,BEL,30,90.0,Away,Bayern Munich,Defeat,,,,,,,,,,,,,,,,,,,,
37,2022-2023,3,Mönchengladbach,Yann Sommer,SUI,33,90.0,Home,Hertha BSC,Win,4.0,0.0,4.0,100.0,0.4,6.0,19.0,31.6,49.0,4.0,34.7,31.7,14.0,14.3,23.2,4.0,0.0,0.0,4.0,24.0
38,2022-2023,3,Hertha BSC,Oliver Christensen,DEN,23,90.0,Away,Mönchengladbach,Defeat,4.0,1.0,4.0,100.0,2.4,0.0,4.0,0.0,35.0,8.0,5.7,22.9,3.0,66.7,62.0,8.0,0.0,0.0,2.0,22.8
39,2022-2023,3,Bayer Leverkusen,Lukáš Hrádecký,FIN,32,90.0,Home,Hoffenheim,Defeat,5.0,3.0,2.0,40.0,1.9,5.0,12.0,41.7,29.0,3.0,31.0,32.2,3.0,100.0,64.0,7.0,0.0,0.0,4.0,31.6
40,2022-2023,3,Hoffenheim,Oliver Baumann,GER,32,90.0,Away,Bayer Leverkusen,Win,3.0,0.0,3.0,100.0,0.3,10.0,20.0,50.0,40.0,6.0,42.5,37.4,8.0,37.5,27.0,9.0,1.0,11.1,0.0,8.3
41,2022-2023,3,Stuttgart,Florian Müller,GER,24,90.0,Home,Freiburg,Defeat,3.0,1.0,2.0,66.7,1.0,3.0,7.0,42.9,50.0,6.0,14.0,22.9,7.0,0.0,13.0,8.0,0.0,0.0,3.0,24.4
42,2022-2023,3,Freiburg,Mark Flekken,NED,29,90.0,Away,Stuttgart,Win,4.0,0.0,4.0,100.0,1.1,18.0,36.0,50.0,44.0,4.0,65.9,52.4,7.0,100.0,77.0,12.0,1.0,8.3,0.0,9.6
43,2022-2023,3,Wolfsburg,Koen Casteels,BEL,30,90.0,Home,Schalke 04,Draw,1.0,0.0,1.0,100.0,1.1,13.0,16.0,81.3,39.0,4.0,38.5,33.6,6.0,16.7,36.8,6.0,0.0,0.0,2.0,17.5
44,2022-2023,3,Schalke 04,Alexander Schwolow,GER,30,90.0,Away,Wolfsburg,Draw,6.0,0.0,6.0,100.0,0.6,9.0,24.0,37.5,22.0,3.0,72.7,56.2,8.0,100.0,77.0,19.0,0.0,0.0,0.0,8.0
45,2022-2023,3,Dortmund,Gregor Kobel,SUI,24,90.0,Home,Werder Bremen,Defeat,7.0,3.0,4.0,57.1,1.8,6.0,15.0,40.0,33.0,6.0,33.3,33.1,9.0,44.4,40.4,11.0,0.0,0.0,0.0,12.9
46,2022-2023,3,Werder Bremen,Jiří Pavlenka,CZE,30,90.0,Away,Dortmund,Win,4.0,2.0,1.0,50.0,0.5,5.0,12.0,41.7,31.0,2.0,35.5,35.9,8.0,12.5,25.1,2.0,0.0,0.0,0.0,9.5
47,2022-2023,3,Augsburg,Rafał Gikiewicz,POL,34,90.0,Home,Mainz 05,Defeat,5.0,2.0,3.0,60.0,1.9,2.0,19.0,10.5,40.0,6.0,32.5,33.7,11.0,54.5,44.9,10.0,0.0,0.0,1.0,13.9
48,2022-2023,3,Mainz 05,Robin Zentner,GER,27,90.0,Away,Augsburg,Win,2.0,1.0,1.0,50.0,0.5,6.0,18.0,33.3,23.0,9.0,73.9,54.5,3.0,33.3,32.3,3.0,0.0,0.0,3.0,19.3
49,2022-2023,3,Union Berlin,Frederik Rønnow,DEN,30,90.0,Home,RB Leipzig,Win,2.0,1.0,1.0,50.0,0.6,7.0,25.0,28.0,26.0,1.0,76.9,53.1,6.0,83.3,59.8,11.0,0.0,0.0,1.0,16.2
50,2022-2023,3,RB Leipzig,Janis Blaswich,GER,31,90.0,Away,Union Berlin,Defeat,2.0,2.0,0.0,0.0,1.4,0.0,0.0,,28.0,4.0,0.0,24.6,4.0,0.0,24.8,8.0,0.0,0.0,2.0,18.3
51,2022-2023,3,Eintracht Frankfurt,Kevin Trapp,GER,32,90.0,Home,Köln,Draw,2.0,1.0,1.0,50.0,0.3,5.0,9.0,55.6,17.0,2.0,41.2,39.2,6.0,33.3,33.7,8.0,2.0,25.0,0.0,14.0
52,2022-2023,3,Köln,Marvin Schwäbe,GER,27,90.0,Away,Eintracht Frankfurt,Draw,3.0,1.0,2.0,66.7,0.1,10.0,16.0,62.5,40.0,3.0,30.0,33.8,7.0,57.1,46.9,7.0,0.0,0.0,1.0,13.1
53,2022-2023,3,Bochum,Manuel Riemann,GER,33,90.0,Home,Bayern Munich,Defeat,11.0,7.0,6.0,45.5,4.1,20.0,30.0,66.7,29.0,0.0,89.7,58.8,8.0,50.0,53.6,5.0,0.0,0.0,4.0,28.0
54,2022-2023,3,Bayern Munich,Manuel Neuer,GER,36,90.0,Away,Bochum,Win,7.0,0.0,7.0,100.0,1.2,6.0,12.0,50.0,39.0,10.0,28.2,29.5,9.0,11.1,23.1,10.0,1.0,10.0,2.0,20.7
55,2022-2023,4,Freiburg,Mark Flekken,NED,29,90.0,Home,Bochum,Win,5,0,5,100.0,0.8,7,17,41.2,26,7,46.2,43.6,6,83.3,59.0,12,0,0.0,1,12.6
56,2022-2023,4,Bochum,Manuel Riemann,GER,33,90.0,Away,Freiburg,Defeat,11,1,10,90.9,3.9,22,50,44.0,55,3,72.7,51.2,14,71.4,53.4,10,0,0.0,4,21.7
57,2022-2023,4,Hoffenheim,Oliver Baumann,GER,32,90.0,Home,Augsburg,Win,1,0,1,100.0,0.5,6,18,33.3,27,3,51.9,44.5,9,44.4,42.2,7,3,42.9,0,13.5
58,2022-2023,4,Augsburg,Rafał Gikiewicz,POL,34,90.0,Away,Hoffenheim,Defeat,5,1,4,80.0,1.7,8,26,30.8,30,7,36.7,38.5,19,78.9,60.1,6,1,16.7,0,14.1
59,2022-2023,4,Mainz 05,Robin Zentner,GER,27,90.0,Home,Bayer Leverkusen,Defeat,5,3,2,40.0,2.7,2,2,100.0,14,4,7.1,21.9,2,50.0,60.0,4,1,25.0,3,28.4
60,2022-2023,4,Bayer Leverkusen,Lukáš Hrádecký,FIN,32,90.0,Away,Mainz 05,Win,4,0,4,100.0,0.7,9,25,36.0,28,4,64.3,49.6,7,100.0,69.4,10,2,20.0,0,13.3
61,2022-2023,4,Schalke 04,Alexander Schwolow,GER,30,90.0,Home,Union Berlin,Defeat,7,6,1,14.3,2.6,3,12,25.0,24,3,33.3,34.7,6,66.7,58.8,12,0,0.0,0,12.0
62,2022-2023,4,Union Berlin,Frederik Rønnow,DEN,30,90.0,Away,Schalke 04,Win,4,1,4,100.0,1.4,11,26,42.3,46,5,45.7,40.8,6,83.3,60.8,14,1,7.1,0,10.9
63,2022-2023,4,RB Leipzig,Janis Blaswich,GER,31,90.0,Home,Wolfsburg,Win,4,0,4,100.0,0.3,4,13,30.8,25,6,40.0,35.3,10,30.0,36.7,6,0,0.0,0,13.3
64,2022-2023,4,Wolfsburg,Koen Casteels,BEL,30,90.0,Away,RB Leipzig,Defeat,6,2,5,83.3,2.3,7,8,87.5,27,11,22.2,29.6,11,18.2,28.5,8,1,12.5,1,18.1
65,2022-2023,4,Hertha BSC,Oliver Christensen,DEN,23,90.0,Home,Dortmund,Defeat,7,1,6,85.7,1.6,3,11,27.3,25,11,24.0,27.5,10,50.0,48.4,9,0,0.0,2,13.4
66,2022-2023,4,Dortmund,Gregor Kobel,SUI,24,90.0,Away,Hertha BSC,Win,3,0,2,100.0,0.7,7,13,53.8,42,6,19.0,28.5,6,83.3,61.2,6,0,0.0,1,14.0
67,2022-2023,4,Bayern Munich,Manuel Neuer,GER,36,90.0,Home,Mönchengladbach,Draw,3,1,2,66.7,0.9,2,3,66.7,15,4,6.7,23.0,5,40.0,34.2,1,0,0.0,1,14.0
68,2022-2023,4,Mönchengladbach,Yann Sommer,SUI,33,90.0,Away,Bayern Munich,Draw,20,1,19,95.0,4.3,11,29,37.9,38,4,55.3,45.5,9,88.9,61.0,19,2,10.5,0,16.0
69,2022-2023,4,Köln,Marvin Schwäbe,GER,27,90.0,Home,Stuttgart,Draw,6,0,6,100.0,1.4,3,11,27.3,30,1,26.7,30.8,8,37.5,33.5,8,0,0.0,1,18.5
70,2022-2023,4,Stuttgart,Florian Müller,GER,24,90.0,Away,Köln,Draw,1,0,1,100.0,0.5,4,11,36.4,33,5,30.3,34.3,6,16.7,26.7,15,1,6.7,1,17.8
71,2022-2023,4,Werder Bremen,Jiří Pavlenka,CZE,30,90.0,Home,Eintracht Frankfurt,Defeat,7,4,3,42.9,2.6,4,12,33.3,32,7,31.3,32.6,8,25.0,33.9,9,1,11.1,0,13.6
72,2022-2023,4,Eintracht Frankfurt,Kevin Trapp,GER,32,90.0,Away,Werder Bremen,Win,3,3,1,33.3,1.5,4,17,23.5,18,1,77.8,54.4,7,42.9,40.1,4,0,0.0,0,11.5
